"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"ss02dalpa4","trivial1","Human","Trivial",6,6,6,6,NA,-93
"ss02dalpa4","trivial2","AI","Trivial",7,7,6,7,"Mental Health",-97
"summer_pilot","mental1","AI","Mental",7,7,7,7,"I don't remember",80
"summer_pilot","mental2","Human","Mental",7,7,7,7,"I don't remember",89
"summer_pilot","romantic1","Human","Romantic",7,7,7,7,NA,85
"summer_pilot","romantic2","AI","Romantic",7,7,7,7,NA,91
"summer_pilot","trivial1","Human","Trivial",7,7,7,7,NA,90
"summer_pilot","trivial2","AI","Trivial",7,7,7,7,NA,79
"tn533a7r66","mental1","AI","Mental",2,1,2,2,NA,-34
"tn533a7r66","mental2","Human","Mental",3,4,1,3,"Mental Health",-44
"tn533a7r66","romantic1","Human","Romantic",3,4,5,4,NA,31
"tn533a7r66","romantic2","AI","Romantic",2,2,2,1,NA,-4
"tn533a7r66","trivial1","Human","Trivial",6,5,5,6,NA,-100
"tn533a7r66","trivial2","AI","Trivial",1,2,2,2,"Everyday / Trivial",-45
"u125u213k7","mental1","AI","Mental",1,1,1,1,NA,-100
"u125u213k7","mental2","Human","Mental",1,1,1,1,"Romantic",-100
"u125u213k7","romantic1","AI","Romantic",1,1,1,1,NA,-100
"u125u213k7","romantic2","Human","Romantic",1,1,1,1,NA,-100
"u125u213k7","trivial1","AI","Trivial",1,1,1,1,"I don't remember",-100
"u125u213k7","trivial2","Human","Trivial",3,1,1,1,NA,-100
"u7aljev7kf","mental1","AI","Mental",7,7,7,7,"I don't remember",80
"u7aljev7kf","mental2","Human","Mental",7,7,7,7,"I don't remember",89
"u7aljev7kf","romantic1","Human","Romantic",7,7,7,7,NA,85
"u7aljev7kf","romantic2","AI","Romantic",7,7,7,7,NA,91
"u7aljev7kf","trivial1","Human","Trivial",7,7,7,7,NA,90
"u7aljev7kf","trivial2","AI","Trivial",7,7,7,7,NA,79
"uc29ke0e02","mental1","AI","Mental",6,6,5,4,"Mental Health",-67
"uc29ke0e02","mental2","Human","Mental",1,6,1,1,NA,-60
"uc29ke0e02","romantic1","AI","Romantic",3,3,1,1,NA,-20
"uc29ke0e02","romantic2","Human","Romantic",5,4,1,4,"Mental Health",17
"uc29ke0e02","trivial1","AI","Trivial",6,7,6,5,NA,66
"uc29ke0e02","trivial2","Human","Trivial",4,6,6,3,NA,68
"v0q3bkc9rl","mental1","AI","Mental",3,4,3,2,"Everyday / Trivial",34
"v0q3bkc9rl","mental2","Human","Mental",3,4,2,5,NA,43
"v0q3bkc9rl","romantic1","AI","Romantic",4,6,5,4,NA,-51
"v0q3bkc9rl","romantic2","Human","Romantic",5,3,3,5,NA,-38
"v0q3bkc9rl","trivial1","Human","Trivial",2,5,2,2,NA,-59
"v0q3bkc9rl","trivial2","AI","Trivial",3,5,4,3,"Everyday / Trivial",-59
"vpq7kbqqt0","mental1","Human","Mental",7,6,6,6,"Mental Health",61
"vpq7kbqqt0","mental2","AI","Mental",6,6,6,7,"Mental Health",-71
"vpq7kbqqt0","romantic1","Human","Romantic",4,6,6,4,NA,-61
"vpq7kbqqt0","romantic2","AI","Romantic",7,5,6,6,NA,-76
"vpq7kbqqt0","trivial1","AI","Trivial",6,5,5,5,NA,94
"vpq7kbqqt0","trivial2","Human","Trivial",6,6,6,5,NA,-76
"xsm91h3b8o","mental1","Human","Mental",3,5,6,3,NA,81
"xsm91h3b8o","mental2","AI","Mental",2,1,7,2,"Everyday / Trivial",-100
"xsm91h3b8o","romantic1","AI","Romantic",1,1,2,1,NA,-100
"xsm91h3b8o","romantic2","Human","Romantic",2,2,1,2,NA,87
"xsm91h3b8o","trivial1","Human","Trivial",1,1,1,1,NA,-71
"xsm91h3b8o","trivial2","AI","Trivial",1,1,7,1,"Everyday / Trivial",-100
"yhv4rovznb","mental1","AI","Mental",2,5,4,5,NA,-58
"yhv4rovznb","mental2","Human","Mental",3,5,6,3,"Mental Health",-57
"yhv4rovznb","romantic1","AI","Romantic",3,5,4,3,NA,63
"yhv4rovznb","romantic2","Human","Romantic",3,5,2,4,NA,58
"yhv4rovznb","trivial1","Human","Trivial",3,6,4,4,"Romantic",-60
"yhv4rovznb","trivial2","AI","Trivial",3,6,4,5,NA,-63
"z06yss8t47","mental1","Human","Mental",5,4,6,5,NA,75
"z06yss8t47","mental2","AI","Mental",6,5,5,5,NA,-75
"z06yss8t47","romantic1","AI","Romantic",6,6,5,6,NA,75
"z06yss8t47","romantic2","Human","Romantic",3,5,3,2,"Romantic",50
"z06yss8t47","trivial1","AI","Trivial",5,6,2,5,"Mental Health",-75
"z06yss8t47","trivial2","Human","Trivial",6,6,6,6,NA,50
"zlle6oa0wy","mental1","AI","Mental",4,3,3,3,NA,50
"zlle6oa0wy","mental2","Human","Mental",1,2,1,1,"Mental Health",70
"zlle6oa0wy","romantic1","Human","Romantic",5,5,4,4,NA,-50
"zlle6oa0wy","romantic2","AI","Romantic",5,5,4,4,"Mental Health",20
"zlle6oa0wy","trivial1","Human","Trivial",5,6,7,5,NA,-20
"zlle6oa0wy","trivial2","AI","Trivial",5,6,7,5,NA,80
"zz4ez6upxf","mental1","Human","Mental",2,2,2,2,NA,12
"zz4ez6upxf","mental2","AI","Mental",2,2,2,2,NA,-52
"zz4ez6upxf","romantic1","AI","Romantic",2,3,3,2,"Mental Health",-100
"zz4ez6upxf","romantic2","Human","Romantic",3,2,2,1,NA,-30
"zz4ez6upxf","trivial1","Human","Trivial",2,2,3,3,"Romantic",-75
"zz4ez6upxf","trivial2","AI","Trivial",3,2,2,2,NA,-77
